date	venue	item	item details	start time	end time
9/13/2026	Farm Demo Tent	Meet a Beekeeper		9:00 AM	
9/13/2026	Farm Market Tent	Farmer for a Day		9:00 AM	7:00 PM
9/13/2026	Farm Tents	Farm Food, Fun & Farm Animal Tents		9:00 AM	8:00 PM
9/13/2026	Toddler Farmyard	Toddler Farmyard		9:00 AM	8:00 PM
9/13/2026	Touch-a-Tractor	Touch-a-Tractor		9:00 AM	8:00 PM
9/13/2026	Exhibit Hall & Shed	Exhibit Hall & Shed		9:00 AM	9:00 PM
9/13/2026	Cattle Ring	4-H Beef Cattle Show		10:30 AM	
9/13/2026	Midway	Midway		11:00 AM	11:00 PM
9/13/2026	Herding Demo	Sheep Herding Demo		11:00 AM	
9/13/2026	Dog Show Ring	Diamonds in the Ruff Dog Show		11:30 AM	
9/13/2026	Main Stage	Tianna Woods		11:30 AM	
9/13/2026	Roaming Grounds	Roaming Juggler Noah Nogueira		11:45 AM	
9/13/2026	Cattle Ring	4-H Dairy Cattle Show		12:00 PM	
9/13/2026	Entertainment Tent	The Best of Friends		12:15 PM	
9/13/2026	Cattle Ring	Open Dairy Cattle Show		12:30 PM	
9/13/2026	Cattle Ring	Open Beef Cattle Show		1:00 PM	
9/13/2026	Herding Demo	Sheep Herding Demo		1:00 PM	
9/13/2026	Farm Demo Tent	Farrier Horseshoeing Demo		1:00 PM	
9/13/2026	Dog Show Ring	Diamonds in the Ruff Dog Show		1:30 PM	
9/13/2026	Entertainment Tent	Alex Burnett & Friends		1:30 PM	
9/13/2026	Roaming Grounds	Roaming Juggler Noah Nogueira		2:00 PM	
9/13/2026	Main Stage	The Shawn Connerys		2:30 PM	
9/13/2026	Herding Demo	Sheep Herding Demo		3:00 PM	
9/13/2026	Farm Demo Tent	Farrier Horseshoeing Demo		3:00 PM	
9/13/2026	Farm Demo Tent	Farrier Horseshoeing Demo		5:00 PM	
9/13/2026	Beer Garden	Beer Garden		5:00 PM	Midnight
9/13/2026	Main Stage	Dean James		5:15 PM	
9/13/2026	Pull Track	Mini Modified and Truck Pull		6:00 PM	
