date	venue	item	item details	start time	end time
9/14/2026	Exhibit Hall & Shed	Exhibit Hall & Shed		9:00 AM	4:00 PM
9/14/2026	Farm Market Tent	Farmer for a Day		9:00 AM	4:00 PM
9/14/2026	Farm Tents	Farm Animal, Food & Fun Tents		9:00 AM	4:00 PM
9/14/2026	Toddler Farmyard	Toddler Farmyard		9:00 AM	4:00 PM
9/14/2026	Touch-a-Tractor	Touch-a-Tractor		9:00 AM	4:00 PM
9/14/2026	Sheep Ring	4-H Sheep Show		9:00 AM	
9/14/2026	Horse Ring	Heavy Horse Show		10:00 AM	
9/14/2026	Classic Car Show	Classic Car Show		10:00 AM	3:00 PM
9/14/2026	Sheep Ring	Sheep Show		11:00 AM	
9/14/2026	Midway	Midway		11:00 AM	5:00 PM
9/14/2026	Main Stage	The Entertainers		11:00 AM	
9/14/2026	Entertainment Tent	Scientists in School		11:00 AM	
9/14/2026	Herding Demo	Sheep Herding Demo		11:00 AM	
9/14/2026	Dog Show Ring	Diamonds in the Ruff Dog Show		11:30 AM	
9/14/2026	Entertainment Tent	Baby Show		12:00 PM	
9/14/2026	Goat & Poultry Ring	Goat Show		12:00 PM	
9/14/2026	Cookie Decorating	Cookie Decorating	Near Entertainment Tent	12:00 PM	1:30 PM
9/14/2026	Farm Demo Tent	Sheep Shearing Demo		12:00 PM	12:30 PM
9/14/2026	Main Stage	Mary Snow Belly Dancers		12:15 PM	
9/14/2026	Horse Ring	Western Games Horse Show		12:30 PM	
9/14/2026	Farm Demo Tent	Sheep Shearing Demo		12:30 PM	1:00 PM
9/14/2026	Main Stage	The Silver Crickets		12:45 PM	
9/14/2026	Farm Demo Tent	Sheep Shearing Demo		1:00 PM	1:30 PM
9/14/2026	Herding Demo	Sheep Herding Demo		1:00 PM	
9/14/2026	Pedal Pull	Children's Pedal Pull		1:00 PM	
9/14/2026	Entertainment Tent	Diane & The Cavaliers		1:15 PM	
9/14/2026	Farm Demo Tent	Sheep Shearing Demo		1:30 PM	2:00 PM
9/14/2026	Dog Show Ring	Diamonds in the Ruff Dog Show		2:00 PM	
9/14/2026	Farm Demo Tent	Sheep Shearing Demo		2:00 PM	2:30 PM
9/14/2026	Goat & Poultry Ring	Junior Poultry Show		2:30 PM	
9/14/2026	Farm Demo Tent	Sheep Shearing Demo		2:30 PM	3:00 PM
9/14/2026	Main Stage	Jessica Sevier		3:00 PM	
9/14/2026	Entertainment Tent	The Rogersons		3:00 PM	
9/14/2026	Farm Demo Tent	Sheep Shearing Demo		3:00 PM	3:30 PM
9/14/2026	Herding Demo	Sheep Herding Demo		3:15 PM	
9/14/2026	Farm Demo Tent	Sheep Shearing Demo		3:30 PM	4:00 PM
9/14/2026	Exhibit Hall & Shed	Exhibitor Pick-up		5:00 PM	5:30 PM
